symbol,median_dollar_volume,median_close,daily_vol_bp,tick_floor_half_bp,edge_raw_half_bp
HOV,12852573.2,121.69,392.3230817968314,0.411,51.975
HOVR,1659716.8,1.89,708.4342909485893,26.455,78.122
HOWL,339499.9,0.7196,680.9851424665393,69.483,105.773
HP,41765933.0,33.85,278.5670736982819,1.477,48.274
HPE,589554146.2,24.62,339.83570232279527,2.031,50.987
HPK,3731658.3,6.71,494.510895563645,7.452,41.54
HPP,11018934.6,9.06,427.15451349014813,5.519,68.815
HPQ,335450408.7,24.22,275.4162755860919,2.064,20.193
HQH,3427087.8,19.25,136.9371533272601,2.597,16.399
HQI,164440.9,10.86,372.5191311353347,4.604,105.277
HQL,2262561.4,17.16,145.20780916957457,2.914,15.643
HQY,75943845.0,91.54,231.33479746268893,0.546,31.067
HRB,72200365.3,41.71,283.4510400066936,1.199,41.644
HRI,64698048.4,139.21,354.393805134525,0.359,36.324
HRL,100496184.7,23.88,182.98195595896567,2.094,22.274
HRMY,24348146.0,33.83,282.2419310295377,1.478,36.346
HROW,22716505.9,40.01,425.146640060119,1.25,41.195
HRTG,8665376.6,26.65,354.40369657896605,1.876,64.903
HRTX,1576528.8,1.1,468.580101191658,45.455,65.216
HRZN,3894466.6,5.01,285.9684743617235,9.98,26.243
HSBC,133261170.9,86.84,171.63904673010208,0.576,24.866
HSBH,370662.8,95.3338,149.03793996321613,0.524,21.049
HSCS,76690.0,2.69,577.6114816994275,18.587,128.523
HSDT,843564.1,2.21,761.6446087529856,22.624,69.695
HSHP,3205242.9,13.11,259.8677821187467,3.814,31.592
HSIC,95237087.2,76.29,160.29019984375333,0.655,25.458
HSLV,1943912.6,5.31,470.9728810506524,9.416,18.743
HST,157110680.5,19.35,158.19560978272096,2.584,26.56
HSTM,5135825.3,24.62,200.50969795274744,2.031,32.526
HSY,311983341.0,186.4,170.64573969686703,0.268,10.449
HTB,3167391.0,44.04,138.1784357299813,1.135,30.649
HTCR,91947.2,0.8689,675.3281222937301,57.544,167.666
HTFL,26995176.1,30.21,497.9973700548319,1.655,58.898
HTGC,23847300.5,16.88,151.88670197812482,2.962,22.628
