,EUR,GBP,JPY,AUD,CHF,CAD,NZD,SEK,NOK
2007-06-01,-1.1822380952380902,0.5501800000000001,-4.6,1.0899999999999999,-2.88628171428571,-0.9699999999999998,2.99,-1.88,-0.5800000000000001
2007-07-01,-1.1038181818181805,0.7039599999999995,-4.550000000000001,1.1499999999999995,-2.70827259090909,-0.8225000000000007,3.119999999999999,-1.7900000000000005,-0.4300000000000006
2007-08-01,-0.9463913043478298,0.9294599999999997,-4.65,1.2599999999999998,-2.88327927272727,-1.2280000000000006,3.2300000000000004,-1.9100000000000001,-0.3100000000000005
2007-09-01,-0.7183000000000002,1.1869399999999999,-4.61,1.4800000000000004,-2.96654575,-1.4625,3.3500000000000005,-1.8399999999999999,0.04999999999999982
2007-10-01,-0.3926086956521697,1.1901399999999995,-4.23,1.83,-2.62329873913043,-1.1440000000000001,3.5999999999999996,-1.27,0.5899999999999999
2007-11-01,-0.3314545454545499,1.43858,-4.1,2.1800000000000006,-2.6749566818181796,-1.0074999999999998,3.7600000000000007,-0.9500000000000002,0.8100000000000005
2007-12-01,-0.1716315789473697,1.3394300000000001,-4.159999999999999,2.2700000000000005,-2.6756841176470596,-1.1874999999999996,3.880000000000001,-0.8999999999999995,0.9400000000000004
2008-01-01,0.64154545454545,1.8196500000000002,-2.9899999999999998,3.34,-1.5524972857142898,-0.258,4.91,0.27000000000000046,1.9500000000000002
2008-02-01,1.3020952380952395,2.5820199999999995,-2.21,4.630000000000001,-0.6425431904761902,0.20500000000000007,5.76,1.15,2.85
2008-03-01,1.80636842105263,3.1092899999999997,-1.9500000000000002,5.11,-0.5018710526315799,-0.605,6.12,1.4500000000000002,3.3899999999999997
2008-04-01,1.9335,3.0688099999999996,-2.0100000000000002,4.99,-0.66877377272727,-0.4460000000000002,6.02,1.2899999999999996,3.4499999999999997
2008-05-01,2.19738095238095,3.16639,-1.8200000000000003,5.09,-0.6171844000000002,-0.010000000000000231,6.050000000000001,1.4500000000000002,3.8200000000000003
2008-06-01,2.1805238095238106,3.16944,-1.9,5.05,-0.6162729047619,-0.14749999999999996,5.92,1.4100000000000001,3.6500000000000004
2008-07-01,2.1710000000000003,3.0422000000000002,-1.94,4.96,-0.58310417391304,-0.42200000000000015,5.670000000000001,1.5499999999999998,3.67
2008-08-01,2.1751904761904797,2.97619,-1.94,4.52,-0.6066140999999998,-0.31999999999999984,5.409999999999999,1.6100000000000003,3.74
2008-09-01,1.4291818181818199,2.3205999999999998,-2.7199999999999998,3.6799999999999997,-1.465347,-1.4724999999999997,4.36,0.9000000000000004,3.2300000000000004
2008-10-01,0.7930869565217398,1.81304,-3.43,1.71,-2.9092088181818205,-2.7640000000000002,3.1099999999999994,-0.6900000000000004,2.5999999999999996
2008-11-01,1.8782999999999999,2.08684,-1.48,2.4,-1.659682153846154,-0.5774999999999999,3.89,0.8400000000000003,3.82
2008-12-01,1.5226190476190502,1.40247,-1.03,2.6199999999999997,-1.6624695,-0.72,3.4600000000000004,0.050000000000000044,2.8699999999999997
