pattern_id,leg,weight,fwd_return
lps_overnight_l21_h21,short,0.03904308708888367,0.06706100127904291
lps_overnight_l21_h21,short,0.047707722058989585,-0.08165214591522907
lps_overnight_l21_h21,short,0.0561112432487526,0.20765817464991376
lps_overnight_l21_h21,short,0.06521739130434782,-0.11837662926077819
lps_overnight_l21_h21,long,0.06521739130434782,-0.06628924957772053
lps_overnight_l21_h21,long,0.06521739130434782,-0.029900780803391758
lps_overnight_l21_h21,long,0.06521739130434782,-0.12181759171765394
lps_overnight_l21_h21,long,0.05168898352165084,-0.06357278327378058
lps_overnight_l21_h21,long,0.04645639327590978,-0.0879616601908142
lps_overnight_l21_h21,long,0.04562088427948009,-0.022868237552574056
lps_overnight_l21_h21,long,0.043125252252975144,-0.08920716633918457
lps_overnight_l21_h21,long,0.041583274163929,-0.059374312986540834
lps_overnight_l21_h21,long,0.03494332739717275,-0.05822582374507934
lps_overnight_l21_h21,long,0.0347017847743426,-0.07272734048947349
lps_overnight_l21_h21,long,0.03453028242269293,-0.10407255839184903
lps_overnight_l21_h21,long,0.03272401271338577,-0.042890622970540915
lps_overnight_l21_h21,long,0.030019196387292283,-0.03957527494387647
lps_overnight_l21_h21,long,0.027541904011561907,-0.10577264445992696
lps_overnight_l21_h21,long,0.026145368556047707,-0.19655522590824914
lps_overnight_l21_h21,long,0.025846553971812642,0.02782387042703327
lps_overnight_l21_h21,long,0.022634209581952457,0.0932697036510921
lps_overnight_l21_h21,long,0.019362469836342582,-0.08983694988748303
lps_overnight_l21_h21,long,0.01879145341342327,-0.08550006534858456
lps_overnight_l21_h21,long,0.01636693419459242,0.005539381139923583
lps_overnight_l21_h21,long,0.014787796922163605,-0.021828239249426562
lps_overnight_l21_h21,long,0.014739775727290112,0.04306863553436058
lps_overnight_l21_h21,long,0.01462311735815365,0.11329733358847127
lps_overnight_l21_h21,long,0.013700952964627816,0.08633093471752784
lps_overnight_l21_h21,long,0.013489762076508361,-0.10349126460467428
lps_overnight_l21_h21,long,0.012336763268174133,0.12758417709893077
lps_overnight_l21_h21,long,0.011415458515203739,-0.05718156761215076
lps_overnight_l21_h21,long,0.0108578535760057,-0.00945635979585413
lps_overnight_l21_h21,long,0.008869789846275945,-0.06369883291156064
lps_overnight_l21_h21,long,0.008700119505558584,0.16270100684322597
lps_overnight_l21_h21,long,0.008046509473276923,-0.0926226525565974
lps_overnight_l21_h21,long,0.008046509473276923,-0.10567849677325336
lps_overnight_l21_h21,long,0.008046509473276923,-0.10005790108564538
lps_overnight_l21_h21,long,0.008046509473276923,-0.09394065251562278
lps_overnight_l21_h21,long,0.008046509473276923,0.10720165409560489
lps_overnight_l21_h21,long,0.008046509473276923,0.08826952093618701
lps_overnight_l21_h21,long,0.008046509473276923,-0.09804005871631194
lps_overnight_l21_h21,long,0.008046509473276923,0.11058995259870041
lps_overnight_l21_h21,long,0.008046509473276923,0.08411758887304877
lps_overnight_l21_h21,long,0.008046509473276923,-0.1328553609618407
lps_overnight_l21_h21,long,0.008046509473276923,-0.009463902656291379
