symbol,bound,year,n_excursions,mean_duration_hours,median_duration_hours,mean_abs_entry_rho
BCHUSDT,retail_taker,2024,1,9.0,9.0,6.459032453051354
BCHUSDT,retail_taker,2025,1,1517.0,1517.0,3.36333440480042
TRXUSDT,high_tier,2020,297,11.676767676767676,3.0,2.343338471690509
TRXUSDT,high_tier,2021,55,55.4,18.0,4.448600121733402
TRXUSDT,high_tier,2022,20,201.55,102.0,2.323849109328415
TRXUSDT,high_tier,2023,24,75.45833333333333,34.5,2.871280301715624
TRXUSDT,high_tier,2024,69,14.46376811594203,6.0,2.184699683267257
TRXUSDT,high_tier,2025,12,40.166666666666664,23.0,2.140885959792624
TRXUSDT,high_tier,2026-partial,8,236.5,188.0,2.149830995745388
TRXUSDT,retail_taker,2020,42,31.047619047619047,11.5,4.389248632568363
TRXUSDT,retail_taker,2021,20,74.15,18.0,9.534032714134405
TRXUSDT,retail_taker,2022,7,249.42857142857142,59.0,4.088759769524345
TRXUSDT,retail_taker,2023,5,28.4,17.0,6.465746615765704
TRXUSDT,retail_taker,2024,4,2.25,2.0,5.908832438014062
TRXUSDT,retail_taker,2025,3,56.0,47.0,4.159025632202535
TRXUSDT,retail_taker,2026-partial,2,305.0,305.0,3.5092687690168107
LTCUSDT,high_tier,2020,74,49.851351351351354,21.5,2.485266841557645
LTCUSDT,high_tier,2021,45,75.46666666666667,24.0,3.321925186436286
LTCUSDT,high_tier,2022,129,8.449612403100776,4.0,2.1009520950308915
LTCUSDT,high_tier,2023,4,60.0,36.5,7.1606272294336115
LTCUSDT,high_tier,2024,4,380.75,69.5,2.7569417714509274
LTCUSDT,high_tier,2025,1,1471.0,1471.0,2.9577464788729193
LTCUSDT,retail_taker,2020,16,84.6875,11.0,5.360170195571967
LTCUSDT,retail_taker,2021,11,109.9090909090909,10.0,8.55187797728076
LTCUSDT,retail_taker,2022,3,9.0,2.0,3.4788665441265247
LTCUSDT,retail_taker,2023,1,164.0,164.0,22.64761481151986
LTCUSDT,retail_taker,2024,1,12.0,12.0,5.43925631564024
XMRUSDT,high_tier,2020,191,19.209424083769633,6.0,2.4443936669923305
XMRUSDT,high_tier,2021,122,39.97540983606557,15.5,2.275178647941893
