symbol,year,n_hours,active_pct_high_tier,active_pct_retail_taker,share_beyond_high_tier,share_above_high_u,share_below_high_l,share_beyond_retail_taker,rho_mean,rho_median,rho_p05,rho_p95,rho_ma7_mean,rho_ma7_median,rho_ma7_p05,rho_ma7_p95
LINKUSDT,All,58262,0.21217946517455633,0.06299131509388624,0.05576533589646768,0.04107308365658577,0.014692252239881912,0.010452782259448698,-0.1104078665013416,-0.341227796821435,-1.2680263065431705,1.6593944597108665,-0.10626973484147426,-0.4803467004183798,-0.779780728403311,1.4552349405206424
UNIUSDT,2020,2507,0.48583964898284804,0.17590745911447947,0.1834862385321101,0.1364180295173514,0.04706820901475867,0.028719585161547666,0.4900591385326678,0.701844833351814,-1.7347002818334865,2.2981036440876497,0.14630381579466073,0.521533948018163,-1.4669181564961606,1.7628204404548002
UNIUSDT,2021,8747,0.48313707556876645,0.1984680461872642,0.19583857322510576,0.19206585114896535,0.003772722076140391,0.037041271293014745,0.7848791223679474,0.7158868030261967,-1.003829679977126,3.0072991841380308,0.8014701286899095,0.887601472220951,-0.6780367411625899,2.5011491413162568
UNIUSDT,2022,8760,0.2764840182648402,0.012899543378995433,0.11621004566210046,0.002054794520547945,0.1141552511415525,0.003995433789954338,-0.7091803008437371,-0.7053897358815031,-2.229631240488075,0.7761833460526394,-0.7035003991317099,-0.7186916436291155,-1.0314221874062888,-0.2470903888679909
UNIUSDT,2023,8759,0.1327777143509533,0.006850097043041443,0.007306770179244206,0.005251741066331773,0.0020550291129124328,0.00034250485215207214,-0.2534809537162643,-0.4332344213651784,-1.1517183115344134,1.20386393966538,-0.27445449352648643,-0.5355813163792129,-0.8168460502677918,0.9759922025216168
UNIUSDT,2024,8784,0.1717896174863388,0.0,0.008310564663023679,0.007627504553734062,0.0006830601092896175,0.0,-0.03834087047092656,-0.2971506160542392,-1.033010906195585,1.339754426831174,-0.019725481066284366,-0.3322626191647636,-0.7758116007101736,1.25640475576882
UNIUSDT,2025,8760,0.08162100456621005,0.056050228310502284,0.0005707762557077625,0.0,0.0005707762557077625,0.00011415525114155251,-0.541303213385435,-0.5569684638861516,-1.0167319794029621,0.0,-0.5398131989031958,-0.5879071558861184,-0.755450925600022,-0.25582574263719665
UNIUSDT,2026-partial,6078,0.019578808818690358,0.0,0.0004935834155972359,0.0,0.0004935834155972359,0.0,-0.7298403737103504,-0.714285714285775,-1.2408459409971275,-0.2626404378183644,-0.7292841293000172,-0.7492708589966437,-0.84601539646928,-0.6060275737736696
UNIUSDT,All,52395,0.21704361103158698,0.05422273117663899,0.06367019753793302,0.041091707223971756,0.022578490313961256,0.00830231892356141,-0.1880583130493864,-0.43349168646101166,-1.3697345248036188,1.647560413137617,-0.20085864508651902,-0.5691809000770233,-0.8481005325569584,1.4766546786287555
NEARUSDT,2020,1858,0.4542518837459634,0.2534983853606028,0.24219590958019377,0.20559741657696448,0.03659849300322928,0.06189451022604951,0.7485801988350267,0.7440065489180425,-1.5473406213976169,3.1996575238961134,0.7501988984939088,0.8029283507354082,-0.6289338837973936,1.588471631576777
NEARUSDT,2021,8747,0.6476506230707672,0.3077626614839373,0.3124499828512633,0.2694638161655425,0.04298616668572082,0.08345718532068137,0.9644563074342072,0.9707626101249522,-1.687810530691097,3.833282273914206,0.9797275279084311,1.1196347380933898,-1.3877590347191522,3.229924519985824
NEARUSDT,2022,8760,0.21084474885844748,0.05171232876712329,0.028424657534246577,0.00022831050228310502,0.02819634703196347,0.0031963470319634705,-0.7464056902902304,-0.7143280774739041,-1.633170556612859,0.0,-0.7413506491789477,-0.7197283053700396,-1.2185300669206367,-0.34110036227077234
NEARUSDT,2023,8759,0.2668112798264642,0.013928530654184267,0.08585454960611942,0.01758191574380637,0.06827263386231305,0.0018266925448110515,-0.3406239301225128,-0.5351906158360198,-1.9094952916098786,1.4044463445918005,-0.36353493432391015,-0.6560979607126346,-1.1304423561507881,1.0849490304061296
NEARUSDT,2024,8784,0.16108834244080145,0.001366120218579235,0.01901183970856102,0.017987249544626594,0.0010245901639344263,0.00034153005464480874,-0.041505101053527386,-0.3006177132828314,-1.0442744026263224,1.4048187678054225,-0.022849261322370504,-0.3901565766685773,-0.7542521436574778,1.3300994083026887
NEARUSDT,2025,8760,0.07534246575342465,0.0,0.009703196347031963,0.0,0.009703196347031963,0.0,-0.656531343025539,-0.6546106856724088,-1.4268497886561957,0.0,-0.6548172004466929,-0.6760979485002205,-0.8556319428319886,-0.35937061103300527
NEARUSDT,2026-partial,6078,0.17012175057584733,0.003290556103981573,0.05725567620927937,0.00016452780519907864,0.05709114840408029,0.0003290556103981573,-0.8150834118428307,-0.8060361783821329,-1.8481012658227136,0.0,-0.8167471692192589,-0.8140526927501534,-1.0410247880108259,-0.6223985606474295
NEARUSDT,All,51746,0.26672593050670584,0.07285587291771345,0.09245159046109844,0.05901905461291694,0.033432535848181504,0.01727669771576547,-0.20803443493336002,-0.4906646860774727,-1.6332708242426386,1.9572035880196441,-0.20515564137164943,-0.6148532110595342,-1.0599750896501767,1.6311939413392964
AVAXUSDT,2020,2387,0.6275659824046921,0.3845831587767072,0.3971512358609133,0.17720988688730624,0.21994134897360704,0.12903225806451613,-0.20294859640120827,0.02518515111102848,-4.2000297482253925,3.146876096320129,-0.42360719388500184,0.0007682242956515494,-3.4610106825155924,1.7551642656915791
