symbol,company_name,market,first_trading_date,delisting_date,reason
SPP,THE SIAM PULP & PAPER PUBLIC COMPANY LIMITED,SET,15 Dec 1987,22 Jul 2003,The company requests for voluntary delisting
SPSU,S.P. SUZUKI PUBLIC COMPANY LIMITED,SET,12 Mar 1996,08 Feb 2011,The company requests for voluntary delisting
SPWPF,SRI PANWA HOTEL PROPERTY FUND,SET,08 Aug 2013,23 Dec 2016,Others
SRI,SRITHAI FOOD & BEVERAGE PUBLIC COMPANY LIMITED,SET,18 Mar 1993,31 Oct 2008,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
SS,SUNSHINE PUBLIC COMPANY LIMITED,SET,17 Nov 1980,01 Jun 1999,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
SSC,SERMSUK PUBLIC COMPANY LIMITED,SET,30 Jun 1975,20 Dec 2024,The company requests for voluntary delisting
SSI,SAHAVIRIYA STEEL INDUSTRIES PUBLIC COMPANY LIMITED,SET,08 Sep 1994,11 Jul 2020,Others
SSTPF,SUB SRI THAI PROPERTY FUND,SET,25 May 2011,03 Jan 2020,Others
SSTSS,SUBSRITHAI SMART STORAGE PROPERTY FUND,SET,15 Aug 2014,26 Dec 2017,Others
STACO,STA GROUP (1993) PUBLIC COMPANY LIMITED,SET,08 Jun 1994,04 Feb 1999,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
STARK,STARK CORPORATION PUBLIC COMPANY LIMITED,SET,22 Mar 2005,03 Sep 2024,SET command de-lists because they violate SET's rule and regulations
STAR-O,STAR BLOCK GROUP PUBLIC COMPANY LIMITED,SET,09 Jun 1988,01 Jun 1999,-
STC-O,SIAM TYRE PUBLIC COMPANY LIMITED,SET,25 Apr 1979,21 Jul 1999,The company requests for voluntary delisting
STEC,"SINO-THAI ENGINEERING AND CONSTRUCTION PUBLIC CO.,LTD.",SET,31 Aug 1992,29 Oct 2024,The company requests for voluntary delisting
STHAI,"SHUN THAI RUBBER GLOVES INDUSTRY PUBLIC CO., LTD",SET,01 Aug 2002,09 Jan 2025,SET command de-lists because they violate SET's rule and regulations
SUE,SANYO UNIVERSAL ELECTRIC PUBLIC COMPANY LIMITED,SET,25 Dec 1989,20 Dec 2001,The company requests for voluntary delisting
SURAT,SURAT CANNING PUBLIC COMPANY LIMITED,SET,13 Jul 1990,25 May 1998,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
S-VARA,SRIVARA REAL ESTATE GROUP PUBLIC COMPANY LIMITED,SET,04 Jun 1996,26 Dec 2003,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
SVH,SAMITIVEJ PUBLIC COMPANY LIMITED,SET,15 Jun 1990,08 Dec 2022,The company requests for voluntary delisting
SVI,SVI PUBLIC COMPANY LIMITED,SET,18 Sep 1989,22 May 2026,The company requests for voluntary delisting
TAF,THAI AGRI FOODS PUBLIC COMPANY LIMITED,SET,13 Sep 1991,28 Nov 2008,The company requests for voluntary delisting
TAG,THAI-ASAHI GLASS PUBLIC COMPANY LIMITED,SET,25 Dec 1989,12 Jul 2001,The company requests for voluntary delisting
TATL,TECHNOLOGY APPLICATIONS (THAILAND) PUBLIC COMPANY LIMITED,SET,29 Mar 1991,06 Jul 1998,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
TBANK,THANACHART BANK PUBLIC COMPANY LIMITED,SET,10 Jul 1992,15 Jan 2008,The company requests for voluntary delisting
TCCC,THAI CENTRAL CHEMICAL PUBLIC COMPANY LIMITED,SET,08 Oct 1991,25 Aug 2023,The company requests for voluntary delisting
TCI,THE THAI COMMERCIAL INSURANCE PUBLIC COMPANY LIMITED,SET,06 Jul 1990,28 Mar 2006,The company requests for voluntary delisting
TCIF,THAI COMMERCIAL INVESTMENT FREEHOLD AND LEASEHOLD FUND,SET,16 Jun 2010,19 Jul 2017,Others
TCP,THAI CANE PAPER PUBLIC COMPANY LIMITED,SET,05 Apr 1996,27 Feb 2014,The company requests for voluntary delisting
TF,THAI PRESIDENT FOODS PUBLIC COMPANY LIMITED,SET,07 Dec 1978,16 Oct 2017,Amalgamation
TFC,THAILAND FISHERY COLD STORAGE PUBLIC COMPANY LIMITED,SET,20 Jul 1990,06 Oct 1999,The company requests for voluntary delisting
T-FISH,THAI FISHERIES PUBLIC COMPANY LIMITED,SET,27 Dec 1994,02 Jun 2000,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
TFS,THAI FINANCIAL SYNDICATE PUBLIC COMPANY LIMITED,SET,31 Aug 1992,25 Dec 1997,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
TFT,THAI FINANCIAL TRUST PUBLIC COMPANY LIMITED,SET,19 Sep 1995,25 Dec 1997,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
TFUND,TICON PROPERTY FUND,SET,12 May 2005,28 Dec 2017,Others
TGCI,THAI-GERMAN CERAMIC INDUSTRY PUBLIC COMPANY LIMITED,SET,17 Nov 1980,01 Aug 2018,Amalgamation
TGI,THAI GLASS INDUSTRIES PUBLIC COMPANY LIMITED,SET,30 Apr 1975,29 Dec 1998,The company requests for voluntary delisting
TGP,THAI GYPSUM PRODUCTS PUBLIC COMPANY LIMITED,SET,30 Dec 1980,05 Oct 2004,The company requests for voluntary delisting
TGROWTH,TICON INDUSTRIAL GROWTH LEASEHOLD PROPERTY FUND,SET,18 Dec 2013,28 Dec 2017,Others
